objID,ra,dec,mjd,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z,Num
1237657109277376572,28.1050632663152,-0.28683025368639,52225,17.3736,0.01901548,16.21616,0.01930394,15.91589,0.0187048,15.82888,0.01643585,15.76706,0.01526248,1223933.0
1237657109277376573,28.1050632663158,-0.286830253684027,52225,17.37361,0.0190182,16.21616,0.01930406,15.91589,0.01870502,15.82888,0.01643651,15.76706,0.01526564,1223933.0
1237646011095449640,28.1050583583117,-0.2868470054099,51081,16.95801,0.01286114,15.75461,0.01327519,15.57086,0.01844835,15.52926,0.01661945,15.53355,0.01578717,1223933.0
1237646011095449639,28.1050583516042,-0.286847005454474,51081,16.95787,0.01285344,15.75457,0.01327506,15.57083,0.01844815,15.52924,0.01661924,15.53346,0.01578127,1223933.0
1237646505005875218,28.1050555357101,-0.286847590059131,51132,17.39167,0.01946008,16.20651,0.02160948,15.93776,0.0205527,15.80321,0.01599497,15.8059,0.02605966,1223933.0
1237646505005875217,28.1050555357103,-0.286847590077802,51132,17.39159,0.01945167,16.20647,0.02161561,15.93774,0.02055104,15.80319,0.01599202,15.80588,0.0260498,1223933.0
1237646505005875216,28.105068203781,-0.286850370909574,51132,17.39119,0.01956982,16.2064,0.02161556,15.93772,0.020551,15.80349,0.01599205,15.80554,0.0260487,1223933.0
1237646646741368902,28.1050626420456,-0.286847621779423,51136,17.3888,0.01622779,16.20955,0.0185899,15.91811,0.01892453,15.79615,0.01422104,15.77271,0.01630302,1223933.0
1237646646741368900,28.1050726968467,-0.286844667753263,51136,17.38848,0.01621876,16.20952,0.01858956,15.91799,0.01892413,15.796,0.01422438,15.7731,0.0162962,1223933.0
1237646646741368901,28.1050626420459,-0.286847621798088,51136,17.38879,0.01622075,16.20951,0.0185896,15.9181,0.01892417,15.79615,0.01422446,15.77271,0.01629723,1223933.0
1237657109277442053,28.1050686801367,-0.286833453328577,52225,17.38633,0.01558014,16.20775,0.01637744,15.9352,0.02246712,15.82648,0.01368618,15.7783,0.01903684,1223933.0
1237657109277442052,28.1050686801373,-0.286833453326213,52225,17.38633,0.01557475,16.20775,0.01637723,15.9352,0.02246686,15.82647,0.01368518,15.7783,0.01903373,1223933.0
1237657869489340427,28.1050620859421,-0.286842119988354,52288,17.2802,0.01308747,16.11255,0.02165618,15.83587,0.01375465,15.69035,0.009207007,15.69586,0.01600013,1223933.0
1237657869489340426,28.1050620859413,-0.286842119990735,52288,17.28018,0.01307993,16.11254,0.02165426,15.83587,0.01375002,15.69035,0.009196139,15.69582,0.01599146,1223933.0
1237657869489340425,28.1050684345457,-0.286844374800161,52288,17.28011,0.01329502,16.11257,0.02165983,15.83585,0.01374998,15.69022,0.009196039,15.69524,0.01598957,1223933.0
1237659754992959569,28.1050503531813,-0.286850252438082,52522,17.07606,0.01866242,15.90484,0.013372,15.66949,0.01837239,15.574,0.01897371,15.56082,0.0184166,1223933.0
1237659754992959568,28.1050503531813,-0.286850252438082,52522,17.07606,0.01866169,15.90484,0.01337194,15.66949,0.01837231,15.574,0.0189736,15.56083,0.01841585,1223933.0
1237659754993025033,28.1050536918184,-0.286850109581184,52522,17.06958,0.01685924,15.90491,0.01159552,15.65661,0.02524343,15.58253,0.01584964,15.57617,0.01356684,1223933.0
1237659883826708530,28.1050531372599,-0.286848638894582,52551,17.30397,0.01752966,16.08494,0.04201937,15.84435,0.01990005,15.69809,0.02031137,15.67302,0.02179667,1223933.0
1237659883826708529,28.1050531374619,-0.286848638065673,52551,17.30394,0.01751414,16.08493,0.04201908,15.84434,0.0198991,15.69775,0.02031011,15.673,0.02178602,1223933.0
1237660025589792838,28.1050769849237,-0.286848035206931,52558,17.18796,0.01716417,16.01796,0.01990986,15.72269,0.02012116,15.60893,0.02117817,15.58973,0.02880015,1223933.0
1237660025589792837,28.1050769849237,-0.286848035206931,52558,17.18796,0.01716407,16.01796,0.01990986,15.72269,0.02012116,15.60893,0.02117817,15.58973,0.0288001,1223933.0
1237660205948665907,28.1050648757968,-0.286846912763769,52576,17.32384,0.01421302,16.19069,0.01467675,15.89221,0.01634007,15.7801,0.01285525,15.71641,0.01860336,1223933.0
1237660205948665906,28.1050648757968,-0.286846912763769,52576,17.32384,0.01420788,16.19069,0.0146766,15.89221,0.01634001,15.7801,0.01285509,15.71639,0.0186017,1223933.0
1237660223160451138,28.1050539075583,-0.286851566232965,52577,16.9539,0.02651279,15.80645,0.0163324,15.61019,0.0219257,15.57688,0.01581039,15.5638,0.01902919,1223933.0
1237660223160451137,28.1050539075587,-0.28685156623062,52577,16.95389,0.02651194,15.80644,0.01633235,15.61019,0.02192566,15.57688,0.01581025,15.5638,0.01902882,1223933.0
1237660223160516618,28.1050624723204,-0.286853385558225,52577,16.94891,0.01336661,15.79497,0.02547849,15.63589,0.02132566,15.57084,0.01652417,15.56094,0.02382046,1223933.0
